TITLE,URL,SOLUTION SET,AUDIENCE,DESCRIPTION,TOOL TYPE,FORMAT,FREE,SCREENSHOTS,WHO1,RATING1,REASONS1,WHO2,RATING2,REASONS2,WHO3,RATING3,REASONS3
National Association for Continence,http://www.nafc.org/tools/,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with Chronic Conditions other than SCI,"Much of the information here relates to people with issues of incontenince but who do not have SCI.  Some material may be useful; there is, for example, a template for a stool diary to help you communicate with your doctor and information on diet and a section dedicated to people who care for others with incontinence issues.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/47.png,Don,3,"There is some useful information and resources on this website; however, not very much of it is specific to SCI.",John Shepherd,3,"A good range of information, but not specific to SCI",Jenny,4.25,"Very useful website to gain resources, support and assistance.  "
"Neurogenic Bladder, Neurogenic Bowel, and Sexual Dysfunction in People With Spinal Cord Injury",http://ptjournal.apta.org/content/82/6/601.long,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"A link to a research article that reviews literature related to the effects of spinal cord injuries on urinary, gastrointestinal, and sexual function. Covers management techniques for neurogenic bowel disorders.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/NeurogenicBladderBowel.png,,,,John Shepherd,3,Professional journal article,Jenny,2.75,Contains general but informative overview of topic. 
Neurogenic bowel management after spinal cord injury: A systematic review of the evidence,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3118252/pdf/nihms1767.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,A link to a research article that systematically reviews evidence for the management of neurogenic bowel in individuals with spinal cord injuries (SCI).,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/neurogenicbowelman.png,Don,5,"This resource provides a considerable amount of information on neurogenic bowel.  There is broad range of information on this topic including the multifaceted program described in the foregoing, that includes a broad range of alternatives for dealing with dysfunction, as well as assistive devices. This information is specific to SCI.  There were some 72 different references to previous research, much of which was reviewed.",John Shepherd,3,Very comprehensive; a professional journal article,Jenny,3,A wealth of information but very complex language used. 
Neurogenic Bowel Management in Adults with Spinal Cord Injury: Clinical Practice Guidelines,http://www.pva.org/site/apps/ka/ec/product.asp?c=ajIRK9NJLcJ2E&b=6423003&en=hwKSK6NWJfIWLcNPJmJ2LjP4KlIWIbOYLmJ7JrPeG&ProductID=883868,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Clinical practice guidelines developed for the care of persons with spinal cord injury. These guidelines were developed to improve management of neurogenic bowel,",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/bowelman2.png,,,,John Shepherd,3,"Very detailed and comprehensive, but clearly aimed at professionals",Jenny,2.75,A great reference guide that is easy to understand. 
Neurogenic Bowel: What You Should Know,http://www.bronx.va.gov/docs/BWLC.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,A guide from the Paralyzed Veterans of America (PVA) for everyone who wants or needs to understand how spinal cord injury affects and changes bowel function. The clinical name for this condition is neurogenic bowel. The guids is also for everyone who wants to learn about ways to deal with these changes in bowel function.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Screen%20Shot%202015-10-17%20at%2012.34.43%20PM.png,Don,4,"This resource provides a detailed guide to the neurogenic bowel. There were many medical professionals that sat on the panel developing this guide, as well as many associations and institutions in the Consortium.  This resource is specific to SCI and appears to be written in reasonably understandable language. That is it does not appear overly technical.",John Shepherd,5,Excellent resource; detailed and designed for patients,Jenny,,*Website not available at this time* 
Outcome of Transanal Irrigation for Bowel Dysfunction in Patients With Spinal Cord Injury,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2607129/,Medical Interventions,Persons with SCI,Research article that compares symptoms of neurogenic bowel dysfunction before and after treatment with transanal irrigation.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/outcomeof.png,Virgil,5,"• Usefull information.
• Possibly a bit complicated for a layperson",John Shepherd,3,Professional journal article,Jenny,3.5,Source contained a wealth of information with well explained reasons as to the conclusions that were made. 
Patients Like Me,https://www.patientslikeme.com/,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"Social networking website to connect with patients who are experiencing similar or same condition. Currently, there are 265 members with SCI and 31 that report they experience neurogenic bowel dysfunction. Those with NBD are trying a wide range of treatments, including analy irrigation, surgeries and various drugs.  You will have to register for the site in order to be able to take advantage of the community.","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/32.png,Don,2,"Although this appears to be a useful site in terms of networking, it is not specific to SCI or neurogenic bowel.  Given the volume of resources on neurogenic bowel that are specific to SCI, it might not be necessary to include this link/website on the proposed website.  It may be a useful addition in this section other than bowel management.",John Shepherd,2,Not specific to SCI,Jenny,5,Website is excellent for networking and has current information. 
Patterson Medical: Royal Grip Suppository Inserter & Digital Bowel Stimulator,http://www.pattersonmedical.ca/app.aspx?cmd=getProduct&key=IF_921017048,Positioning and Assistive Devices,Persons in Wheelchairs,The Royal Grip is from a Canadian Company (Patterson) and has two separate tools to assist individuals with physical disabilities be more independant with their bowel routines. The first is a suppository inserter and the other is a digital bowel stimulator. Both come with adjustable vinyl straps to assist those with limited hand dexterity.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Patterson.png,Jenny,1, Only focuses on one product and in my opinion a very costly item. ,John Shepherd,3,"Single item, expensive; may be necessary for some but other sources might be cheaper",,,
Phenomenological Study of Neurogenic Bowel From the Perspective of Individuals Living With Spinal Cord Injury ,http://www.archives-pmr.org/article/S0003-9993(14)00968-X/pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,Research article that describes the experience of Neurogenic Bowel from the perspective of people who are living with the condition (persons with SCI),Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Phenomelogical.png,,,,John Shepherd,3,Professional journal article,Jenny,3,Excellent source because it captures the lived experiences of people. 
Planat,http://www.planat.com/,Lifestyle Management: Travel,Persons in Wheelchairs,"Information on accessible restaurants, recreation and hotels around Canada, funded by the Rick Hansen Foundation.  You can also both add and review accessible locations if you register for the site.",Tool for Peer/HCP Interaction: Crowdsourcing tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/25.png,Virgil,2,"• Couildn't figure out what they offer
• Web Content Accessibility Guidelines (WCAG) 2.0 is good",John Shepherd,3,Limited information,Jenny,5,"Extremely useful website, especially for tourists with disabilities and also has a mechanism where people can share information with each other.  "
PoopLog,https://play.google.com/store/apps/details?id=com.kefsco.pooplog2&hl=en,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"PoopLog allows people to track bowel movements using the Bristol Stool Scale on an Android powered device. Once you record the type of bowel movement, volume, and time, PoopLog allows you to attach a note, attach a photo, or to share any part of your entry with other installed applications (Facebook, Twitter, Tumblr, SMS, Email, etc..). PoopLog also features an extensive reporting option which will allow you to export your PoopLog to a text file for analysis by a health practitioner.",Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/7.png,Jenny,,*Website is not available at this time* ,John Shepherd, n/a,,,,
Probiotic App,https://play.google.com/store/apps/details?id=com.probiotic.mobile,Lifestyle Management: Diet,General Audiences,"The Probiotic Guide App was designed as a diagnosing tool to assist Healthcare Professionals in providing evidence based recommendations to patient about their use of probiotic supplements. The tool provides Indications, Dosage Forms and Clinical Evidence to Date on a variety of Probiotic Supplements. The information contained in the tools has been authored, reviewed and edited by accredited medical professionals.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Screen%20Shot%202015-10-17%20at%2012.58.41%20PM.png,Jenny,5,Excellent resource that can be individualized and customized. ,John Shepherd, n/a,,,,
Qufora Cone Toilet System,http://www.macgregorhealthcare.com/products/quforaconetoilet/index.html,Positioning and Assistive Devices,Persons with SCI,"Qufora, which is a UK based company, sells a rectal catheter with balloon which facilitates transanal irrigation.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/62.png,Jenny,3.75,Well explained information and dialogue about the product. ,John Shepherd,2,Product might be useful; use with medical advice,,,
Rate an MD: Colorectal Surgeons,https://www.ratemds.com/best-doctors/on/toronto/gastroenterologist/,Medical Interventions,General Audiences,"Online tool that allows users to search for and rate specialists, like colorectal surgeons, across Canada.",Tool for Peer/HCP Interaction: Crowdsourcing tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/33.png,Virgil,3,"• A site with good intentions but still too young (too few reviews). Not all reviews are visible.
• The majority of comments are too laudative;  very few comments offer useful information like which doctors to avoid and why. The review rankings are extreme (i.e. 1 or 5) as to doubt their quality.",John Shepherd,2,Not very useful,Jenny,3.5,*Website is not available at this time* 
RehabTeam Site Information Sheets,http://calder.med.miami.edu/pointis/sciman.html,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"This site provides basic information on medical problems after SCI, including bowel programs and GI issues.  You will have to click on the ""bowel program"" section in the menu to the left of the main screen in order to access information about bowel care, specifically.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/29.png,Jenny,3,A wide variety of topics containing clear and concise information on the subject matter indicated. ,John Shepherd,3,"Good, brief overview",,,
SCI Digestion and Bowel Function: Guide for Bowel Routine,http://sci-bc-database.ca/wp-content/uploads/SCI-Digestion-bowel-function.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"This document will help establish consistent, efficient and manageable bowel routines, both the digestion and elimination functions are addressed.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/58.png,Don,4,"This resource provides a good discussion around neurogenic bowel, management of the same, as well as options for dealing with dysfunction. This resource is specific to SCI.  This link is also included on the SCI BC database that was discussed in the preceding.",John Shepherd,4,A good overview of bowel management after SCI,Jenny,3.75,A quick easy and concise reference guide. 
SCI U Bowel Module,http://www.sci-u.ca/bowel-2/,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"This is an online course on bowel management.  In includes basic infomration on how to create the perfect program, tools and tips for management, etc.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/26%281%29.png,Don,4,"Some people may retain information better when it is delivered audio-visually. Having individuals discuss their particular situations may be useful in terms of participants being able to relate to an individual.  Although the sound seemed to drop off when the individuals started talking; therefore, I missed a lot of what they said.  This resource is specific to SCI. ",John Shepherd,5,Very comprehensive and designed for people with SCI,Jenny,4.75,Covers numerous topics in an easy and understandable manner. 
SCI U Diet Journal,http://sci-u.ca/bowel/data/downloads/dietjournal.pdf,Lifestyle Management: Diet,Persons with SCI,"This is a journal from SCI-U that is designed to help you keep track of what you eat, your medications, and how these things affect your bowel management.",Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/SCIdiet.png,,,,John Shepherd,4,"A good resource, requires printing",Jenny,4.5,User friendly and comprehensive source. 
SCIRE project: Bowel Dysfunction and Management,http://www.scireproject.com/rehabilitation-evidence/bowel-dysfunction-and-management,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"SCIRE reviews, evaluates, and translates research about SCI in order to inform health professionals and other stakeholders of best rehabilitation practices following SCI. Their bowel management section contains information on research and practice for effective bowel management.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/30.png,Don,4,"This resource provides a good discussion around neurogenic bowel, management of the same, as well as options for dealing with dysfunction. This resource is specific to SCI. There is considerable technical information provided on this website for those interested in pursuing solutions for dysfunction.",John Shepherd,3,Very comprehensive and authoritative but dfficult to use and sometimes confusing,Jenny,3.75,Source provides a number of options and resources. 
Senekot: What Causes Constipation,http://www.senokot.co.uk/,Medication Management,General Audiences,"Information fom the producer of a laxative on symptoms of constipation, what causes constipation, diet resources, and treatment options.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/66.png,Jenny,3.5,A great easy access reference guide. ,John Shepherd,3,A list of the causes of constipation,,,
Shepherd Center on Autonomic Dysreflexia,http://www.myshepherdconnection.org/sci/bowel-care/digital-stimulation,Recognizing/Coping with an Emergency,Persons with SCI,Discussion of Autononmic Dysreflexia and its relationship to bowel and bladder management from the Shepherd Center in the US.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/69.png,Jenny,3,A wealth of information that is easily retrievable. ,John Shepherd,5,"Excellent information, including what to do in case of AD during your bowel program",,,
Sit or Squat,https://itunes.apple.com/ca/app/sitorsquat-restroom-finder/id511855507?mt=8,Lifestyle Management: Travel,General Audiences,"This mobile phone application, from Proctor and Gamble, accesses your location and locates all accessible bathrooms within your vicinity. Includes photos of the bathrooms and ratings of them. The tool is intended for general audiences, however, not just people who need accessible bathrooms. You can filter results to look for accessible bathrooms, however.",Tool for Peer/HCP Interaction: Crowdsourcing tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/36.png,Virgil,0,• The app gathers and shares private info for commercial puposes - I deleted it,John Shepherd,3,App may be helpful in locating an accessible washroom,Jenny,,Website is very convenient because information can be retrieved easily. 
Spinal Cord Injury Information Database from Spinal Cord Injury BC: Bowel Resources,http://sci-bc-database.ca/category/health/bowel-management/,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Information and resources on bowel management assembled by Spinal Cord Injury BC. You can add resources to this list, as well. The information database actually covers many topics other than bowel, as well, like nutrition, bladder and pressure sore management.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/55.png,Don,5,"This resource provides a considerable amount of information on neurogenic bowel.  There is broad range of information on this topic from other organizations including best practices, alternatives for dealing with dysfunction, as well as assistive devices. There is a database of information specific to other SCI issues, as well as other resources in this regard. This information is specific to SCI as is the database largely.",John Shepherd,4,A good range of resources,Jenny,3.5,A wealth of information on a variety of topics. 
Spinal Cord Injury Peer Information Library on Technology,http://www.scipilot.com/index.php,Positioning and Assistive Devices,Persons with SCI,"A resource describing the assistive technology experiences of individuals with spinal cord injury from their own perspective.  The site seems to be largely inactive but the stories section, in particular, is rich and contains many user stories that may be useful and which describe things like bathroom modifications.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/52.png,Jenny,5, Real life experiences of people with SCI to gain advice from. ,John Shepherd,3,"Excellent material on different lived experiences, although not much is specifically relevant to bowel issues",,,
Spinal Cord Injury Zone,,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Online tool offers basic information about many topics including bowel management. Also offers newsletters, videos, and links to reserources like devices to increase accessibility.",Basic Information,,TRUE,,Don,4,"This resource provides a good discussion around neurogenic bowel, including a description of the types, key elements in effective bowel care, the basic steps of a bowel  program, and helping maintain lifelong regularity. This resource is specific to SCI. There are quite a few links to others' SCI related issues such as indicated in the previous list.",John Shepherd,5,Excellent resource,Jenny,3.5,Very well organized website with information on a variety of topics. 
Spinal Hub's Travel Tips,http://www.spinalhub.com.au/transport-travel/article/Travel_tips,Lifestyle Management: Travel,Persons with SCI,"Spinal Hub, is an information and education tool developed as part of the Victorian Spinal Cord Injury Program (VSCIP) in Australia.  Among other features, it includes advice on traveling with an SCI.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/traveltips.png,Virgil,5,• Good general information,John Shepherd,4,A helpful checklist,Jenny,4,"Website information, concise and easily understandable.  "
Spinal Injury Network,http://www.spinal-injury.net/bowel-management-sci.htm,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Network for SCI patients created by a person with SCI that offers tools such as an online chat room, blogs and forums to connect with other peers. Also contains basic information about bowel management (and management of other health concerns) after SCI.","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/34.png,,,,John Shepherd,4,"Very good, brief overview",Jenny,2.5,Concise with easy to locate headings. 
SpinalHub's Bowel Care Information,http://www.spinalhub.com.au/support-equipment-funding,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Website based in Australia that provides information and community support to persons with SCI.  The site includes information on assistive equipment, funding (which may be region specific), work, lesiure and transportion.","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/spinalhub2.png,Don,4,"This resource provides a good discussion around neurogenic bowel, management of the same, as well as options for dealing with dysfunction. This resource is specific to SCI.  This website includes a link discussing funding for equipment, which was not present on other websites; however, it appears to be specific to Australia and consequently of less use to individuals in Canada.",John Shepherd,3,Some good information,Jenny,4.75,Content is easy to understand and follow. 
Steps2Care,http://www.paramounthealthcare.com/steps2care,Recognizing/Coping with an Emergency,General Audiences,Steps2Care is a US Based mobile phone application that helps identify medical situations that require a trip to the ER. It's unclear if it is of interest to Canadian consumers and is not specifically targetted at individuals with an SCI.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/steps2care2.png,Jenny,5,Personalized and customized system that caters to individualized health. ,John Shepherd,1,Not relevant or useful for bowel issues,,,
Sympcat,http://www.symcat.com/users/sign_up,Recognizing/Coping with an Emergency,General Audiences,"You must register to be able to use this site. This site uses machine learning algorithms to calculate disease frequency and likelihood based on patient data. If you key in symptoms like headache, dilated pupils and constipation, it will diagnose you with a probably autonomic disease.  It can only connect you to doctors and services in the US, however.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/symcat2.png,Jenny,3.75,Individualized and easy to access. ,John Shepherd,2,Not relevant or useful for bowel issues,,,
Symptify,https://symptify.com/,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,Online self-assessment tool that uses a customized algorithmic engine to help users educate themselves about causes of symptoms,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/76.png,Jenny,5,A wealth of information on many topics where feedback can also be sought. ,John Shepherd,3,"Very general, limited usefulness for bowel issues",,,
Taking Care of Business: Your Bowel Program,http://sci.washington.edu/info/forums/reports/bowel.asp,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Learn about bowel problems and solutions at this Forum featuring an overview by Beth Hall, RN, rehab nurse at Harborview Medical Center, followed by a panel of individuals with SCI discussing their different bowel management situations.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/TakingCareofBiz.png,Jenny,3,Easy to comprehend information in a very readable format. ,John Shepherd,4,Good information; long (72 min) video,,,
Taking Care of your Bowels - Ensuring Success,http://sci.washington.edu/info/pamphlets/bowels_2.asp,Medication Management,Persons with SCI,"Consumer Education pamphlet by the NW Regional SCI System, University of Washington, describing problems with bowel programs and how enemas, suppositories and laxatives can help.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/ensuringsuccess.png,Jenny,2.5,Very concise with easy to follow diagrams. ,John Shepherd,5,Good problem-solving suggestions,,,
Taking Care of Your Bowels: The Basics,http://sci-bc-database.ca/wp-content/uploads/Bowel-Care-for-SCIguide.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"This document contains basic information describing topics such as the function of the bowel, methods to empty the bowel, bowel programs and factors that contribute to successful bowel management.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/TakingCare.png,Jenny,3,Accessible information with a variety of topics. ,John Shepherd, Same as 79,,,,
TalkHealth Bladder and Bowel Clinic,http://www.talkhealthpartnership.com/forum/viewforum.php?f=118,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"This site contains an online forums on bladder, bowel & digestive health as well as a forum on incontinence issues. There is also a section that allows you to post questions to a pharmacist on topics like nutrition or food allergies.","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/16%281%29.png,Jenny,5,Source is excellent for sharing information and experiences with other people. ,John Shepherd,2,Not very active or specific to SCI,,,
The Bristol Stool Scale,http://static1.1.sqspcdn.com/static/f/1451532/22180508/1363249562587/bristol_stool_chart.pdf?token=lbbQYAiAPQsYOJGKSaHHX0hqtaI%3D,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"The Bristol Stool Chart or Bristol Stool Scale is a medical aid designed to classify faeces into seven groups.  This is the way that most guidelines suggest measuring bowel movements, if one is exploring the influence of medical or lifestyle changes on bowel function.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/60.png,Jenny,3,Excellent diagrams with well explained descriptions. ,John Shepherd,5,Extremely useful,,,
The Finetech-Brindley Bladder Control System and how it can help ,https://www.youtube.com/watch?v=dsON6XOHMbA,Medical Interventions,Persons with SCI,"Video that describes how the Finetech-Brindley system, an implantable nerve stimulation device, can help with both bladder and bowel functioning.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/Screen%20Shot%202015-10-17%20at%201.04.40%20PM.png,Virgil,5,• Usefull information.,John Shepherd,2,"Specific topic, related more to bladder issues",Jenny,4.5,Website was concise and easy to understand. 
The MASCIP Neurogenic Bowel Disorder Guidelines (2012),http://www.mascip.co.uk/wp-content/uploads/2015/02/CV653N-Neurogenic-Guidelines-Sept-2012.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"The Multidisciplinary Association of Spinal Cord Injured Professionals is a UK based association that promotes standards in clinical practice for people with spinal cord injuries. In 2012, they published comprehensive guidelines for neurogenic bowel management in particular.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/31.png,Jenny,3,Very thorough source with a variety of topics and content. ,John Shepherd,5,"Excellent, detailed information",,,
The National Spinal Cord Injury Association,http://www.spinalcord.org/resource-center/askus/index.php?pg=kb.page&id=250,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"A list of accessible resources for SCI patients pertaining to bowel care. All resources are linked and free.  Some links, however, appear to be outdated or no longer functional.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/63.png,Jenny,3,Concise information with a variety of topics described. ,John Shepherd,4,Useful collection of resources,,,
The Neurogenic Bowel Dysfunction Scale,http://journals.bmj.com/site/advertising/Peristeen_NBD_Score_Questionaire_A4.pdf,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,The Neurogenic Bowel Dysfunction Scale is based on valid and reproducible questions; it produces a score for Neurogenic Bowel Dysfunction that is correlated to impact on quality of life.,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/NeurogenicDysfunctionScale.png,Don,3,"Although this appears to be a useful tool specific to SCI, it seems as though it would be more useful to present the questionnaire with the second of the two preceding links that describe how to use the score.",John Shepherd,3,Possibly useful but hard to interpret,Jenny,2.333333333,Not very useful or practical tool.  
The Reeve Foundation Online Paralysis Resource Centre,http://www.christopherreeve.org/site/c.mtKZKgMWKwG/b.4451921/k.5E8C/Paralysis_Resource_Center.htm,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"The Reeve Foundation Paralysis Resource Center contains infomration on how to reach their Information Specialists.  These specialists are in the U.S. and may be best able to direct you to information from U.S. agencies.  The specialists are reachable business weekdays, Monday through Friday, toll-free at 800-539-7309 from 9:00 am to 5:00 pm ET (there is a number for international users, too, which is 973-467-8270 but the toll free number may work in Canada). You may also schedule a call or send a message online.",Tool for Peer or HCP Interaction: Messaging or Expert Advice,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/23.png,Jenny,5,A website with a wealth of information and an opportunity to gain feedback from other people. ,John Shepherd,3,Very general information,,,
The University of Washington School of Medicine Pamphlet: Bowel Care,http://sci.washington.edu/info/pamphlets/bowels_1.asp,"General Bowel Health Management (Defining a Routine, Defining Success)",Persons with SCI,"Information resource from the U.S. Spinal Cord Injury Model Systems Program, which is funded by the U.S. National Institute on Disability and Rehabilitation Research (NIDRR). The website contains pamphlets on several other topics of relevanceother than bowel management (e.g. management of UTIs, pressures sores) as well.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/22.png,Jenny,3,Very concise information with excellent diagram. ,John Shepherd,5,"An excellent, brief overview",,,
Toilet Finder,https://itunes.apple.com/ca/app/toilet-finder/id311896604?mt=8,Lifestyle Management: Travel,General Audiences,Toilet Finder is a mobile phone app that acesses your location and rounds up all the restaurants with bathrooms that are nearby; you can filter for accessible bathroom specifically. You can also add new public toilet facilities to the app or let the app know when one has closed.,Tool for Peer/HCP Interaction: Crowdsourcing tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/12.png,Virgil,5,"• Usefull information.
• Easy to use",John Shepherd,3,App may be helpful in locating an accessible washroom,Jenny,,*Website is not available at this time* 
Traveling with Neurogenic Bladder and Bowel,http://trudytriumph.com/traveling-with-a-neurogenic-bladder-and-bowel/,Lifestyle Management: Travel,Persons with Chronic Conditions other than SCI,"Trudy Triumph is a blogger that writes about her experience with NBD.  She is not, however, a person with an SCI.  Some of her tips to bowel management and travel with NBD, however, may be of value to persons with SCI.","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/travel.png,Virgil,3,• Interesting but somewhat limited to one person's experience,John Shepherd,2,Some personal experiences (non SCI),Jenny,4.25,Website is very conducive to networking and the sharing of information. 
Universal Lifestyle Products,http://www.universallifestyle.com/,Positioning and Assistive Devices,Persons in Wheelchairs,Universal Lifestyleis a US based company that  offers accessibility products designed to functionally enhance bathrooms.  Their solutions comform to ADA codes and requirements. ,Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/41.png,Jenny,2, Not very useful but video library has many resources on numerous topics. ,John Shepherd,2,Limited selection of specialized plumbing products,,,
Water Your Body,https://play.google.com/store/apps/details?id=com.northpark.drinkwater&hl=en,Lifestyle Management: Diet,General Audiences,"This mobile phone app records and reminds you to drink water. Given yout current weight, the app will help you to determine how much water your body needs everyday. It is however calibrated for general audiences, not for people with SCIs specifically.  ",Health Tracker/Monitoring Tool,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/14%281%29.png,Jenny,5,Offers personalized and customized information as well as support. ,John Shepherd,2,Requires payment; offers very basic functionality,,,
Web MD Autonomic Dysreflexia Overview,http://www.webmd.com/hypertension-high-blood-pressure/tc/spinal-cord-injury-autonomic-dysreflexia-topic-overview,Recognizing/Coping with an Emergency,General Audiences,"Site lists signs and symptoms of autonomic dysreflexia.  WedMD also contains an interactive symptom checker that allows you to click on parts of the body that are symptomatic. Provides possible diagnoses for a variety of GI (and other) issues, but may not be useful for recognizing a true emergency.",Basic Information,,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/webmdhyperten.png,Jenny,2.75,Good overview of the topic and contains concise information. ,John Shepherd,5,Excellent advice on recognizing and responding to the signs of AD,,,
WebMD: Digestive Disorders Community Health Centre,http://www.webmd.com/digestive-disorders/default.htm,"General Bowel Health Management (Defining a Routine, Defining Success)",General Audiences,"WebMD provides health information, tools for managing health, and support to those who seek information on a variety of health topics. Of relevance to bowel management is a health center that is focused on digestive disorders and which contains information on common food allergies, diet, etcetera. It also contains a digestive disorder forum. The site is targeted to a general audience: anyone with digestive disorders (GERD, Chron's, IBD, etcetera)","Tool for Peer or HCP Interaction: Chat Room, Forum or Social Network",,TRUE,http://www.sciselfmanagement.ca/database-v1/sites/default/files/17.png,Don,2,"This link is not specific to SCI or neurogenic bowel.  Given the volume of resources on neurogenic bowel that are specific to SCI, it might not be necessary to include this link/website on the proposed website.  It may be a useful addition in this section other than bowel management.",John Shepherd,2,Not specific to SCI,Jenny,5,A wealth of information on a variety of topics. 
